"dv_type","sid","trial_type","response","feedback","age_year","age_category"
"2",1,"X.X","Right",NA,NA,"Adults"
"2",2,"X.X","Right",NA,NA,"Adults"
"2",3,"X.X","Right",NA,NA,"Adults"
"2",4,"X.X","Right",NA,NA,"Adults"
"2",5,"X.X","Right",NA,NA,"Adults"
"2",6,"X.X","Right",NA,NA,"Adults"
"2",7,"X.X","Right",NA,NA,"Adults"
"2",8,"X.X","Right",NA,NA,"Adults"
"2",10,"X.X","Right",NA,NA,"Adults"
"2",14,"X.X","Right",NA,NA,"Adults"
"2",16,"X.X","Right",NA,NA,"Adults"
"2",20,"X.X","Right",NA,NA,"Adults"
"2",22,"X.X","Right",NA,NA,"Adults"
"2",24,"X.X","Right",NA,NA,"Adults"
"2",26,"X.X","Right",NA,NA,"Adults"
"2",29,"X.X","Right",NA,NA,"Adults"
"2",30,"X.X","Right",NA,NA,"Adults"
"2",34,"X.X","Right",NA,NA,"Adults"
"2",39,"X.X","Right",NA,NA,"Adults"
"2",40,"X.X","Right",NA,NA,"Adults"
"2",41,"X.X","Right",NA,NA,"Adults"
"2",42,"X.X","Right",NA,NA,"Adults"
"2",43,"X.X","Right",NA,NA,"Adults"
"2",44,"X.X","Right",NA,NA,"Adults"
"2",45,"X.X","Right",NA,NA,"Adults"
"2",47,"X.X","Right",NA,NA,"Adults"
"2",48,"X.X","Right",NA,NA,"Adults"
"2",50,"X.X","Right",NA,NA,"Adults"
"2",51,"X.X","Right",NA,NA,"Adults"
"2",52,"X.X","Right",NA,NA,"Adults"
"2",56,"X.X","Right",NA,NA,"Adults"
"2",57,"X.X","Right",NA,NA,"Adults"
"2",59,"X.X","Right",NA,NA,"Adults"
"2",61,"X.X","Right",NA,NA,"Adults"
"2",64,"X.X","Right",NA,NA,"Adults"
"2",65,"X.X","Right",NA,NA,"Adults"
"2",68,"X.X","Right",NA,NA,"Adults"
"2",72,"X.X","Right",NA,NA,"Adults"
"2",73,"X.X","Right",NA,NA,"Adults"
"2",76,"X.X","Right",NA,NA,"Adults"
"2",78,"X.X","Right",NA,NA,"Adults"
"2",79,"X.X","Right",NA,NA,"Adults"
"2",81,"X.X","Right",NA,NA,"Adults"
"2",83,"X.X","Right",NA,NA,"Adults"
"2",85,"X.X","Right",NA,NA,"Adults"
"2",87,"X.X","Right",NA,NA,"Adults"
"2",88,"X.X","Right",NA,NA,"Adults"
"2",91,"X.X","Right",NA,NA,"Adults"
"2",92,"X.X","Right",NA,NA,"Adults"
"2",94,"X.X","Right",NA,NA,"Adults"
"2",97,"X.X","Right",NA,NA,"Adults"
"2",99,"X.X","Right",NA,NA,"Adults"
"2",101,"X.X","Right",NA,NA,"Adults"
"2",103,"X.X","Right",NA,NA,"Adults"
"2",105,"X.X","Right",NA,NA,"Adults"
"2",106,"X.X","Right",NA,NA,"Adults"
"2",108,"X.X","Right",NA,NA,"Adults"
"2",1,"XY.XandY","Right",NA,NA,"Adults"
"2",2,"XY.XandY","Right",NA,NA,"Adults"
"2",3,"XY.XandY","Right",NA,NA,"Adults"
"2",4,"XY.XandY","Right",NA,NA,"Adults"
"2",5,"XY.XandY","Right",NA,NA,"Adults"
"2",6,"XY.XandY","Right",NA,NA,"Adults"
"2",7,"XY.XandY","Right",NA,NA,"Adults"
