"response","feedback","sid","trial_type","age_category","dv_type","age_year"
"Wrong","Judgement","11-10-16_1.csv","X.Z","Children",3,4.55068493150685
"Kinda Right","None","11-10-16_1.csv","XY.X","Children",3,4.55068493150685
"Right","Judgement","11-10-16_1.csv","X.X","Children",3,4.55068493150685
"Right","Description","11-10-16_1.csv","X.XorY","Children",3,4.55068493150685
"Right","None","11-10-16_1.csv","XY.XandY","Children",3,4.55068493150685
"Wrong","Judgement","11-10-16_1.csv","XY.Z","Children",3,4.55068493150685
"Right","Description","11-10-16_1.csv","XY.XorY","Children",3,4.55068493150685
"Kinda Right","None","11-10-16_1.csv","X.XandY","Children",3,4.55068493150685
"Wrong","Judgement","11-10-16_1.csv","X.Z","Children",3,4.55068493150685
"Right","None","11-10-16_1.csv","X.X","Children",3,4.55068493150685
"Wrong","Judgement","11-10-16_1.csv","XY.Z","Children",3,4.55068493150685
"Right","Judgement","11-10-16_1.csv","XY.XandY","Children",3,4.55068493150685
"Kinda Right","Judgement","11-10-16_1.csv","XY.X","Children",3,4.55068493150685
"Right","Description","11-10-16_1.csv","X.XorY","Children",3,4.55068493150685
"Kinda Right","None","11-10-16_1.csv","X.XandY","Children",3,4.55068493150685
"Kinda Right","Correction","11-10-16_1.csv","XY.XorY","Children",3,4.55068493150685
"Kinda Right","Correction","11-10-16_2.csv","XY.X","Children",3,4.37260273972603
"Right","Judgement","11-10-16_2.csv","X.X","Children",3,4.37260273972603
"Wrong","Description","11-10-16_2.csv","X.Z","Children",3,4.37260273972603
"Wrong","Description","11-10-16_2.csv","XY.Z","Children",3,4.37260273972603
"Right","Judgement","11-10-16_2.csv","XY.XandY","Children",3,4.37260273972603
"Wrong","Correction","11-10-16_2.csv","X.XandY","Children",3,4.37260273972603
"Right","None","11-10-16_2.csv","XY.XorY","Children",3,4.37260273972603
"Wrong","Correction","11-10-16_2.csv","X.XorY","Children",3,4.37260273972603
"Right","Judgement","11-10-16_2.csv","X.X","Children",3,4.37260273972603
"Wrong","None","11-10-16_2.csv","X.XandY","Children",3,4.37260273972603
"Kinda Right","Judgement","11-10-16_2.csv","XY.X","Children",3,4.37260273972603
"Wrong","Judgement","11-10-16_2.csv","XY.Z","Children",3,4.37260273972603
"Right","Correction","11-10-16_2.csv","XY.XorY","Children",3,4.37260273972603
"Wrong","Description","11-10-16_2.csv","X.Z","Children",3,4.37260273972603
"Right","Correction","11-10-16_2.csv","XY.XandY","Children",3,4.37260273972603
"Kinda Right","Description","11-10-16_2.csv","X.XorY","Children",3,4.37260273972603
"Kinda Right","Description","11-10-16_3.csv","XY.X","Children",3,5.04383561643836
"Right","Judgement","11-10-16_3.csv","X.X","Children",3,5.04383561643836
"Wrong","Description","11-10-16_3.csv","X.Z","Children",3,5.04383561643836
"Right","Description","11-10-16_3.csv","XY.XandY","Children",3,5.04383561643836
"Wrong","Description","11-10-16_3.csv","XY.Z","Children",3,5.04383561643836
"Right","Correction","11-10-16_3.csv","XY.XorY","Children",3,5.04383561643836
"Kinda Right","Description","11-10-16_3.csv","X.XandY","Children",3,5.04383561643836
"Right","Description","11-10-16_3.csv","X.XorY","Children",3,5.04383561643836
"Kinda Right","Description","11-10-16_3.csv","X.Z","Children",3,5.04383561643836
"Wrong","None","11-10-16_3.csv","XY.Z","Children",3,5.04383561643836
"Right","Description","11-10-16_3.csv","XY.XandY","Children",3,5.04383561643836
"Kinda Right","Description","11-10-16_3.csv","X.XandY","Children",3,5.04383561643836
"Right","Judgement","11-10-16_3.csv","X.X","Children",3,5.04383561643836
"Kinda Right","Description","11-10-16_3.csv","X.XorY","Children",3,5.04383561643836
"Right","Correction","11-10-16_3.csv","XY.XorY","Children",3,5.04383561643836
"Kinda Right","Judgement","11-10-16_3.csv","XY.X","Children",3,5.04383561643836
"Wrong","None","11-10-16_4.csv","XY.X","Children",3,3.93972602739726
"Kinda Right","None","11-10-16_4.csv","X.X","Children",3,3.93972602739726
"Wrong","None","11-10-16_4.csv","X.Z","Children",3,3.93972602739726
"Wrong","Description","11-10-16_4.csv","XY.Z","Children",3,3.93972602739726
"Wrong","Judgement","11-10-16_4.csv","X.XandY","Children",3,3.93972602739726
"Kinda Right","None","11-10-16_4.csv","XY.XandY","Children",3,3.93972602739726
"Wrong","None","11-10-16_4.csv","XY.XorY","Children",3,3.93972602739726
"Wrong","None","11-10-16_4.csv","X.XorY","Children",3,3.93972602739726
"Wrong","None","11-10-16_4.csv","XY.XorY","Children",3,3.93972602739726
"Kinda Right","Judgement","11-10-16_4.csv","X.X","Children",3,3.93972602739726
"Wrong","None","11-10-16_4.csv","X.XorY","Children",3,3.93972602739726
"Kinda Right","None","11-10-16_4.csv","XY.XandY","Children",3,3.93972602739726
"Wrong","Judgement","11-10-16_4.csv","XY.Z","Children",3,3.93972602739726
"Wrong","Judgement","11-10-16_4.csv","X.XandY","Children",3,3.93972602739726
NA,NA,"11-10-16_4.csv","X.Z","Children",3,3.93972602739726
"Wrong","Judgement","11-10-16_4.csv","XY.X","Children",3,3.93972602739726
"Kinda Right","None","11-10-16_5.csv","XY.X","Children",3,3.4
"Wrong","None","11-10-16_5.csv","X.Z","Children",3,3.4
"Right","None","11-10-16_5.csv","X.X","Children",3,3.4
"Right","Description","11-10-16_5.csv","XY.XorY","Children",3,3.4
"Wrong","None","11-10-16_5.csv","XY.Z","Children",3,3.4
"Right","Description","11-10-16_5.csv","X.XandY","Children",3,3.4
"Right","Description","11-10-16_5.csv","X.XorY","Children",3,3.4
"Right","Description","11-10-16_5.csv","XY.XandY","Children",3,3.4
"Right","Correction","11-10-16_5.csv","XY.XorY","Children",3,3.4
