order,trial_type,card,guess,id,age,response,feedback,judgment,correction,tvjt
1,X.Z,DOG,cat,2017-06-01-11-13,1374,,,,,
2,X.X,ELE,elephant,2017-06-01-11-13,1374,,,,,
3,X.XandY,CAT,cat and dog,2017-06-01-11-13,1374,,,,,
4,X.XandY,DOG,cat and dog,2017-06-01-11-13,1374,,,,,
5,XY.X,DOG-ELE,elephant,2017-06-01-11-13,1374,,,,,
6,X.XorY,CAT,cat or elephant,2017-06-01-11-13,1374,,,,,
7,XY.X,CAT-DOG,dog,2017-06-01-11-13,1374,,,,,
8,XY.XorY,CAT-DOG,cat or dog,2017-06-01-11-13,1374,,,,,
9,X.XorY,CAT,cat or dog,2017-06-01-11-13,1374,,,,,
10,X.Z,DOG,elephant,2017-06-01-11-13,1374,,,,,
11,XY.XorY,CAT-ELE,cat or elephant,2017-06-01-11-13,1374,,,,,
12,XY.Z,CAT-ELE,dog,2017-06-01-11-13,1374,,,,,
13,XY.XandY,CAT-DOG,cat and dog,2017-06-01-11-13,1374,,,,,
14,XY.XandY,CAT-ELE,cat and elephant,2017-06-01-11-13,1374,,,,,
15,X.X,CAT,cat,2017-06-01-11-13,1374,,,,,
16,XY.Z,DOG-ELE,cat,2017-06-01-11-13,1374,,,,,
