"","speaker_role","target_child_age","utterance_type","freq_total"
"1","Father",182.1875,"broken for coding",8
"2","Father",182.1875,"declarative",244
"3","Father",182.1875,"imperative_emphatic",13
"4","Father",182.1875,"question",60
"5","Father",182.1875,"self interruption",7
"6","Father",193.625,"declarative",12
"7","Father",216.0625,"declarative",103
"8","Father",216.0625,"imperative_emphatic",16
"9","Father",216.0625,"question",39
"10","Father",216.0625,"trail off",6
"11","Father",232.0625,"declarative",24
"12","Father",232.0625,"question",6
"13","Father",244.5,"declarative",194
"14","Father",244.5,"interruption",19
"15","Father",244.5,"question",51
"16","Father",244.5,"self interruption",1
"17","Father",252.5,"declarative",19
"18","Father",260.5,"declarative",296
"19","Father",260.5,"question",50
"20","Father",260.5,"self interruption",19
"21","Father",272.5,"declarative",153
"22","Father",272.5,"imperative_emphatic",8
"23","Father",272.5,"interruption question",1
"24","Father",272.5,"question",57
"25","Father",272.5,"self interruption",10
"26","Father",274.9375,"declarative",65
"27","Father",274.9375,"question",15
"28","Father",288.9375,"declarative",274
"29","Father",288.9375,"interruption",12
"30","Father",288.9375,"question",110
"31","Father",288.9375,"self interruption",13
"32","Father",288.9375,"trail off",10
"33","Father",298.9375,"declarative",254
"34","Father",298.9375,"question",57
"35","Father",298.9375,"quotation next line",2
"36","Father",334.8125,"declarative",91
"37","Father",334.8125,"question",63
"38","Father",360.8125,"declarative",298
"39","Father",360.8125,"imperative_emphatic",4
"40","Father",360.8125,"question",192
"41","Father",360.8125,"self interruption",4
"42","Father",360.8125,"trail off",14
"43","Father",365.25,"missing CA terminator",275
"44","Father",386.25,"declarative",71
"45","Father",386.25,"question",49
"46","Father",391.25,"declarative",63
"47","Father",391.25,"question",3
"48","Father",391.25,"self interruption",1
"49","Father",395.6875,"missing CA terminator",417
"50","Father",426.125,"declarative",338
"51","Father",426.125,"missing CA terminator",1007
"52","Father",426.125,"question",38
"53","Father",426.125,"trail off",8
"54","Father",427.125,"declarative",265
"55","Father",427.125,"imperative_emphatic",4
"56","Father",427.125,"question",115
"57","Father",429.125,"declarative",387
"58","Father",429.125,"imperative_emphatic",18
"59","Father",429.125,"interruption",2
"60","Father",429.125,"question",174
"61","Father",429.125,"quotation next line",3
"62","Father",429.125,"trail off",13
"63","Father",433.125,"declarative",123
"64","Father",433.125,"imperative_emphatic",7
"65","Father",433.125,"question",34
"66","Father",433.125,"self interruption",17
"67","Father",433.125,"trail off",48
"68","Father",433.125,"trail off question",5
"69","Father",436.125,"declarative",1141
"70","Father",436.125,"imperative_emphatic",111
"71","Father",436.125,"question",450
"72","Father",436.125,"trail off",40
"73","Father",440.125,"declarative",254
"74","Father",440.125,"question",25
"75","Father",446.125,"declarative",131
"76","Father",446.125,"imperative_emphatic",17
"77","Father",446.125,"question",60
"78","Father",447.125,"declarative",599
"79","Father",447.125,"question",214
"80","Father",447.125,"self interruption",13
"81","Father",447.125,"trail off",104
"82","Father",456.125,"declarative",10
"83","Father",456.125,"imperative_emphatic",8
"84","Father",456.125,"question",4
"85","Father",456.5625,"broken for coding",7
"86","Father",456.5625,"missing CA terminator",2310
"87","Father",461.5625,"declarative",426
"88","Father",461.5625,"imperative_emphatic",69
"89","Father",461.5625,"question",220
"90","Father",461.5625,"trail off",19
"91","Father",465.5625,"declarative",55
"92","Father",465.5625,"question",13
"93","Father",471.5625,"declarative",61
"94","Father",471.5625,"imperative_emphatic",10
"95","Father",471.5625,"question",17
"96","Father",481.5625,"declarative",49
"97","Father",481.5625,"question",26
"98","Father",483.5625,"declarative",185
"99","Father",483.5625,"imperative_emphatic",2
"100","Father",483.5625,"question",73
"101","Father",483.5625,"trail off",11
"102","Father",487,"declarative",8
"103","Father",487,"missing CA terminator",706
"104","Father",489,"declarative",580
"105","Father",489,"question",337
"106","Father",489,"trail off",5
"107","Father",490,"declarative",1170
"108","Father",490,"imperative_emphatic",4
"109","Father",490,"question",380
"110","Father",490,"self interruption",14
"111","Father",490,"trail off",48
"112","Father",497,"declarative",2258
"113","Father",497,"imperative_emphatic",77
"114","Father",497,"question",708
"115","Father",497,"trail off",39
"116","Father",498,"declarative",1635
"117","Father",498,"imperative_emphatic",26
"118","Father",498,"interruption",63
"119","Father",498,"question",734
"120","Father",498,"trail off",35
"121","Father",499,"declarative",907
"122","Father",499,"imperative_emphatic",1
"123","Father",499,"question",378
"124","Father",499,"trail off",28
"125","Father",503,"declarative",34
"126","Father",503,"question",14
"127","Father",504,"declarative",1022
"128","Father",504,"imperative_emphatic",49
"129","Father",504,"question",321
"130","Father",504,"trail off",5
"131","Father",510,"declarative",24
"132","Father",510,"imperative_emphatic",3
"133","Father",510,"question",13
"134","Father",510,"trail off",3
"135","Father",511,"declarative",2083
"136","Father",511,"imperative_emphatic",61
"137","Father",511,"question",633
"138","Father",511,"trail off",33
"139","Father",512,"declarative",1169
"140","Father",512,"imperative_emphatic",42
"141","Father",512,"interruption",18
"142","Father",512,"question",823
"143","Father",512,"quotation next line",43
"144","Father",512,"trail off",11
"145","Father",516,"declarative",1
"146","Father",517.4375,"broken for coding",5
"147","Father",517.4375,"imperative_emphatic",3
"148","Father",517.4375,"missing CA terminator",2595
"149","Father",519.4375,"declarative",3077
"150","Father",519.4375,"imperative_emphatic",128
"151","Father",519.4375,"question",661
"152","Father",519.4375,"trail off",40
"153","Father",519.4375,"trail off question",3
"154","Father",520.4375,"declarative",293
"155","Father",520.4375,"imperative_emphatic",6
"156","Father",520.4375,"question",30
"157","Father",520.4375,"self interruption",21
"158","Father",520.4375,"trail off",28
"159","Father",522.4375,"question",6
"160","Father",523.4375,"declarative",483
"161","Father",523.4375,"imperative_emphatic",8
"162","Father",523.4375,"question",150
"163","Father",523.4375,"trail off",15
"164","Father",526.4375,"declarative",2211
"165","Father",526.4375,"imperative_emphatic",62
"166","Father",526.4375,"question",368
"167","Father",526.4375,"trail off",7
"168","Father",527.4375,"declarative",57
"169","Father",527.4375,"question",31
"170","Father",528.4375,"declarative",756
"171","Father",528.4375,"imperative_emphatic",48
"172","Father",528.4375,"question",255
"173","Father",528.4375,"trail off",40
"174","Father",530.4375,"declarative",1
"175","Father",531.4375,"declarative",22
"176","Father",533.4375,"declarative",3520
"177","Father",533.4375,"imperative_emphatic",71
"178","Father",533.4375,"question",649
"179","Father",533.4375,"trail off",53
"180","Father",536.4375,"declarative",34
"181","Father",536.4375,"imperative_emphatic",1
"182","Father",536.4375,"question",3
"183","Father",537.4375,"declarative",163
"184","Father",537.4375,"imperative_emphatic",11
