"","speaker_role","word","target_child_age_months","count","total","rel_freq","ppt"
"1","Father","and",12,2,172,0.0116279069767442,11.6279069767442
"2","Father","and",13,2,409,0.00488997555012225,4.88997555012225
"3","Father","and",14,48,5730,0.00837696335078534,8.37696335078534
"4","Father","and",15,32,3495,0.00915593705293276,9.15593705293276
"5","Father","and",16,221,16496,0.0133971871968962,13.3971871968962
"6","Father","and",17,324,23770,0.0136306268405553,13.6306268405553
"7","Father","and",18,429,21358,0.0200861503886132,20.0861503886132
"8","Father","and",19,91,8616,0.0105617455896007,10.5617455896007
"9","Father","and",20,209,8915,0.0234436343241727,23.4436343241727
"10","Father","and",21,259,15253,0.0169802661771455,16.9802661771455
"11","Father","and",22,411,24617,0.0166957793394808,16.6957793394808
"12","Father","and",23,627,24714,0.025370235494052,25.370235494052
"13","Father","and",24,850,49642,0.0171225978002498,17.1225978002498
"14","Father","and",25,377,25063,0.0150420939233132,15.0420939233132
"15","Father","and",26,539,27653,0.0194915560698658,19.4915560698658
"16","Father","and",27,217,16135,0.0134490238611714,13.4490238611714
"17","Father","and",28,303,20845,0.0145358599184457,14.5358599184457
"18","Father","and",29,482,28623,0.0168396045138525,16.8396045138525
"19","Father","and",30,837,47199,0.0177334265556474,17.7334265556474
"20","Father","and",31,345,25772,0.0133866211392209,13.3866211392209
"21","Father","and",32,507,28192,0.0179838251986379,17.9838251986379
"22","Father","and",33,454,32796,0.0138431516038541,13.8431516038541
"23","Father","and",34,525,38019,0.0138088850311686,13.8088850311686
"24","Father","and",35,654,37182,0.0175891560432467,17.5891560432467
"25","Father","and",36,1094,68576,0.0159531031264582,15.9531031264582
"26","Father","and",37,336,22413,0.014991299692143,14.991299692143
"27","Father","and",38,288,18810,0.015311004784689,15.311004784689
"28","Father","and",39,328,23879,0.0137359185895557,13.7359185895557
"29","Father","and",40,264,17658,0.0149507305470608,14.9507305470608
"30","Father","and",41,278,15481,0.0179574962857697,17.9574962857697
"31","Father","and",42,147,12423,0.0118328906061338,11.8328906061338
"32","Father","and",43,284,17145,0.0165645960921551,16.5645960921551
"33","Father","and",44,149,12183,0.0122301567758352,12.2301567758352
"34","Father","and",45,108,9695,0.0111397627643115,11.1397627643115
