"","speaker_role","word","target_child_age_months","speech_act","count","total","rel_freq","ppt"
"1","Father","and",12,"declarative",2,120,0.0166666666666667,16.6666666666667
"2","Father","and",13,"other",2,409,0.00488997555012225,4.88997555012225
"3","Father","and",14,"declarative",38,3204,0.0118601747815231,11.8601747815231
"4","Father","and",14,"imperative",1,165,0.00606060606060606,6.06060606060606
"5","Father","and",14,"other",7,1243,0.00563153660498793,5.63153660498793
"6","Father","and",14,"question",2,1118,0.00178890876565295,1.78890876565295
"7","Father","and",15,"declarative",3,762,0.00393700787401575,3.93700787401575
"8","Father","and",15,"other",24,2305,0.010412147505423,10.412147505423
"9","Father","and",15,"question",5,347,0.0144092219020173,14.4092219020173
"10","Father","and",16,"declarative",164,10858,0.0151040707312581,15.1040707312581
"11","Father","and",16,"imperative",2,263,0.00760456273764259,7.60456273764259
"12","Father","and",16,"other",17,1041,0.0163304514889529,16.3304514889529
"13","Father","and",16,"question",38,4334,0.00876788186432857,8.76788186432857
"14","Father","and",17,"declarative",240,16367,0.0146636524714364,14.6636524714364
"15","Father","and",17,"imperative",4,404,0.0099009900990099,9.9009900990099
"16","Father","and",17,"other",36,3047,0.0118148999015425,11.8148999015425
"17","Father","and",17,"question",44,3952,0.0111336032388664,11.1336032388664
"18","Father","and",18,"declarative",311,16014,0.0194205070563257,19.4205070563257
"19","Father","and",18,"imperative",7,268,0.0261194029850746,26.1194029850746
"20","Father","and",18,"other",28,490,0.0571428571428571,57.1428571428571
"21","Father","and",18,"question",83,4586,0.018098560837331,18.098560837331
"22","Father","and",19,"declarative",49,4339,0.0112929246370131,11.2929246370131
"23","Father","and",19,"other",18,1536,0.01171875,11.71875
"24","Father","and",19,"question",24,2485,0.0096579476861167,9.6579476861167
"25","Father","and",20,"declarative",141,6391,0.0220622750743233,22.0622750743233
"26","Father","and",20,"imperative",1,115,0.00869565217391304,8.69565217391304
"27","Father","and",20,"other",22,320,0.06875,68.75
