"word","speech_act","speaker_role","count","total","rel_freq","lower","upper","connective_pct","upper_pct","lower_pct"
"and","declarative","Father",9498,15488,0.613248966942149,0.605526183149014,0.62092919216457,61.3248966942149,62.092919216457,60.5526183149014
"and","declarative","Mother",102402,153781,0.665895006535268,0.663531202034697,0.668252555065432,66.5895006535268,66.8252555065432,66.3531202034697
"and","declarative","Target_Child",63994,78443,0.815802557270885,0.813071799977859,0.818509938116958,81.5802557270885,81.8509938116958,81.3071799977859
"and","imperative","Father",161,15488,0.0103951446280992,0.00885800743175014,0.0121201028599031,1.03951446280992,1.21201028599031,0.885800743175014
"and","imperative","Mother",1378,153781,0.00896079489663873,0.00849582534210269,0.00944441663041862,0.896079489663873,0.944441663041862,0.849582534210269
"and","imperative","Target_Child",1668,78443,0.0212638476345882,0.0202656656838421,0.0222976517223018,2.12638476345882,2.22976517223018,2.02656656838421
"and","other","Father",1784,15488,0.115185950413223,0.110198496907757,0.120318435338609,11.5185950413223,12.0318435338609,11.0198496907757
"and","other","Mother",10533,153781,0.0684935070002146,0.0672359484754388,0.069767363548457,6.84935070002146,6.9767363548457,6.72359484754388
"and","other","Target_Child",6243,78443,0.0795864513085935,0.0777016406276027,0.0815024236764068,7.95864513085935,8.15024236764068,7.77016406276027
"and","question","Father",4045,15488,0.261169938016529,0.254264959125673,0.268164722330976,26.1169938016529,26.8164722330976,25.4264959125673
"and","question","Mother",39468,153781,0.256650691567879,0.254468989834196,0.258841571443582,25.6650691567879,25.8841571443582,25.4468989834196
"and","question","Target_Child",6538,78443,0.0833471437859337,0.0814219258919465,0.0853032417701379,8.33471437859337,8.53032417701379,8.14219258919465
"or","declarative","Father",622,1683,0.369578134284017,0.346464564542362,0.393147509227585,36.9578134284017,39.3147509227585,34.6464564542362
"or","declarative","Mother",6224,14288,0.435610302351624,0.427458918539493,0.443787918923012,43.5610302351624,44.3787918923012,42.7458918539493
"or","declarative","Target_Child",1635,2590,0.631274131274131,0.612360437260937,0.64989057219199,63.1274131274131,64.989057219199,61.2360437260937
"or","imperative","Father",2,1683,0.0011883541295306,0.000143947611863315,0.00428608570282696,0.11883541295306,0.428608570282696,0.0143947611863315
"or","imperative","Mother",41,14288,0.00286954087346025,0.00205999507533283,0.00389086371731884,0.286954087346025,0.389086371731884,0.205999507533283
"or","imperative","Target_Child",30,2590,0.0115830115830116,0.00782827910660089,0.0164944784699705,1.15830115830116,1.64944784699705,0.782827910660089
"or","other","Father",148,1683,0.0879382055852644,0.0748384364190641,0.102494757819293,8.79382055852644,10.2494757819293,7.48384364190641
"or","other","Mother",741,14288,0.0518617021276596,0.0482822904830662,0.055624959718872,5.18617021276596,5.5624959718872,4.82822904830662
"or","other","Target_Child",144,2590,0.0555984555984556,0.0470871397703668,0.0651308945737056,5.55984555984556,6.51308945737056,4.70871397703668
"or","question","Father",911,1683,0.541295306001188,0.51713747230338,0.56530889350261,54.1295306001188,56.530889350261,51.713747230338
"or","question","Mother",7282,14288,0.509658454647256,0.501425262165644,0.517887712396082,50.9658454647256,51.7887712396082,50.1425262165644
"or","question","Target_Child",781,2590,0.301544401544402,0.28390949814879,0.319628991161594,30.1544401544402,31.9628991161594,28.390949814879
"other","declarative","Father",553886,949904,0.583096818204787,0.582104531824521,0.584088597846137,58.3096818204787,58.4088597846137,58.2104531824521
"other","declarative","Mother",4975217,8343409,0.596305059478686,0.595972048222657,0.596638003902838,59.6305059478685,59.6638003902838,59.5972048222657
"other","declarative","Target_Child",3668641,4600023,0.79752666454059,0.797159150086019,0.797893804444358,79.752666454059,79.7893804444358,79.7159150086019
"other","imperative","Father",10810,949904,0.0113800973572066,0.0111677593586915,0.0115954226869732,1.13800973572066,1.15954226869732,1.11677593586915
"other","imperative","Mother",97403,8343409,0.0116742449039715,0.0116014690133495,0.0117473599618451,1.16742449039715,1.17473599618451,1.16014690133495
"other","imperative","Target_Child",112102,4600023,0.0243698781506092,0.0242291603158247,0.0245111951247673,2.43698781506092,2.45111951247673,2.42291603158247
"other","other","Father",61736,949904,0.0649918307534235,0.0644969011381518,0.0654894149908928,6.49918307534235,6.54894149908928,6.44969011381518
"other","other","Mother",243699,8343409,0.0292085645088237,0.0290944079110874,0.0293230479663502,2.92085645088237,2.93230479663502,2.90944079110874
"other","other","Target_Child",148169,4600023,0.0322104911214574,0.0320493312683668,0.032372240161018,3.22104911214574,3.2372240161018,3.20493312683668
"other","question","Father",323472,949904,0.340531253684583,0.339578234608656,0.341485245256453,34.0531253684583,34.1485245256453,33.9578234608656
"other","question","Mother",3027090,8343409,0.362812131108519,0.362485868487445,0.363138488932977,36.2812131108519,36.3138488932977,36.2485868487445
"other","question","Target_Child",671111,4600023,0.145892966187343,0.145570497478026,0.146215880699657,14.5892966187343,14.6215880699657,14.5570497478026
