"","speaker_role","word","target_child_age_years","speech_act","count"
"1","Father","and",1.07118412046543,"declarative",2
"2","Father","and",1.08333333333333,"other",2
"3","Father","and",1.16666666666667,"declarative",4
"4","Father","and",1.16666666666667,"other",2
"5","Father","and",1.1694045174538,"declarative",8
"6","Father","and",1.17488021902806,"other",1
"7","Father","and",1.18583162217659,"declarative",4
"8","Father","and",1.18583162217659,"other",2
"9","Father","and",1.19404517453799,"declarative",13
"10","Father","and",1.19404517453799,"imperative",1
"11","Father","and",1.19404517453799,"other",2
"12","Father","and",1.19404517453799,"question",2
"13","Father","and",1.20499657768652,"declarative",4
"14","Father","and",1.22416153319644,"declarative",4
"15","Father","and",1.24880219028063,"declarative",1
"16","Father","and",1.25,"other",23
"17","Father","and",1.26368925393566,"declarative",2
"18","Father","and",1.26368925393566,"other",1
"19","Father","and",1.26368925393566,"question",3
"20","Father","and",1.3184462696783,"declarative",1
"21","Father","and",1.32392197125257,"question",2
"22","Father","and",1.33333333333333,"other",4
"23","Father","and",1.3388090349076,"declarative",11
"24","Father","and",1.3388090349076,"question",8
"25","Father","and",1.34154688569473,"declarative",14
"26","Father","and",1.34154688569473,"question",3
"27","Father","and",1.36071184120465,"declarative",39
"28","Father","and",1.36071184120465,"imperative",1
"29","Father","and",1.36071184120465,"question",9
"30","Father","and",1.36344969199179,"declarative",24
"31","Father","and",1.36344969199179,"imperative",1
"32","Father","and",1.36344969199179,"other",4
"33","Father","and",1.36344969199179,"question",6
"34","Father","and",1.36618754277892,"declarative",12
"35","Father","and",1.36618754277892,"question",2
"36","Father","and",1.37987679671458,"declarative",13
"37","Father","and",1.37987679671458,"question",3
"38","Father","and",1.3990417522245,"declarative",33
"39","Father","and",1.3990417522245,"other",2
"40","Father","and",1.3990417522245,"question",6
"41","Father","and",1.40177960301164,"declarative",18
"42","Father","and",1.40177960301164,"other",7
"43","Father","and",1.40177960301164,"question",1
"44","Father","and",1.41666666666667,"other",21
"45","Father","and",1.42214236824093,"declarative",43
"46","Father","and",1.42214236824093,"imperative",1
"47","Father","and",1.42214236824093,"other",1
"48","Father","and",1.42214236824093,"question",2
"49","Father","and",1.42488021902806,"declarative",3
"50","Father","and",1.42488021902806,"other",2
"51","Father","and",1.43309377138946,"declarative",3
"52","Father","and",1.43309377138946,"other",1
"53","Father","and",1.43309377138946,"question",1
"54","Father","and",1.44130732375086,"declarative",26
"55","Father","and",1.44130732375086,"imperative",1
"56","Father","and",1.44130732375086,"question",5
"57","Father","and",1.44404517453799,"declarative",1
"58","Father","and",1.44678302532512,"declarative",8
"59","Father","and",1.44678302532512,"imperative",1
"60","Father","and",1.44678302532512,"other",4
"61","Father","and",1.44678302532512,"question",3
"62","Father","and",1.45499657768652,"declarative",1
"63","Father","and",1.46047227926078,"declarative",63
"64","Father","and",1.46047227926078,"imperative",1
"65","Father","and",1.46047227926078,"question",12
"66","Father","and",1.47142368240931,"other",1
"67","Father","and",1.47142368240931,"question",2
"68","Father","and",1.47416153319644,"question",3
"69","Father","and",1.4796372347707,"declarative",57
"70","Father","and",1.4796372347707,"other",1
"71","Father","and",1.4796372347707,"question",7
"72","Father","and",1.48237508555784,"declarative",11
"73","Father","and",1.48237508555784,"other",1
"74","Father","and",1.48237508555784,"question",3
"75","Father","and",1.49332648870637,"declarative",24
"76","Father","and",1.49332648870637,"other",4
"77","Father","and",1.49332648870637,"question",6
"78","Father","and",1.5,"declarative",37
"79","Father","and",1.5,"other",11
"80","Father","and",1.5,"question",8
"81","Father","and",1.50547570157426,"declarative",7
"82","Father","and",1.5082135523614,"declarative",1
"83","Father","and",1.51095140314853,"declarative",3
"84","Father","and",1.51095140314853,"other",1
"85","Father","and",1.51916495550992,"declarative",38
"86","Father","and",1.51916495550992,"question",8
"87","Father","and",1.52190280629706,"declarative",1
"88","Father","and",1.52464065708419,"declarative",15
"89","Father","and",1.52464065708419,"other",4
"90","Father","and",1.52464065708419,"question",4
"91","Father","and",1.53011635865845,"declarative",1
"92","Father","and",1.53832991101985,"declarative",53
"93","Father","and",1.53832991101985,"other",4
"94","Father","and",1.53832991101985,"question",16
"95","Father","and",1.54106776180698,"declarative",3
"96","Father","and",1.54106776180698,"question",1
"97","Father","and",1.54380561259411,"declarative",7
"98","Father","and",1.54380561259411,"other",2
"99","Father","and",1.54380561259411,"question",2
"100","Father","and",1.55201916495551,"declarative",1
"101","Father","and",1.55201916495551,"question",1
"102","Father","and",1.55475701574264,"declarative",8
"103","Father","and",1.55475701574264,"imperative",2
"104","Father","and",1.55475701574264,"other",1
"105","Father","and",1.55475701574264,"question",2
"106","Father","and",1.55749486652977,"declarative",65
"107","Father","and",1.55749486652977,"imperative",3
"108","Father","and",1.55749486652977,"other",3
"109","Father","and",1.55749486652977,"question",18
"110","Father","and",1.57118412046543,"declarative",27
"111","Father","and",1.57118412046543,"other",1
"112","Father","and",1.57118412046543,"question",12
"113","Father","and",1.57392197125257,"declarative",44
"114","Father","and",1.57392197125257,"imperative",2
"115","Father","and",1.57392197125257,"other",1
"116","Father","and",1.57392197125257,"question",11
"117","Father","and",1.58333333333333,"declarative",30
"118","Father","and",1.58333333333333,"other",15
"119","Father","and",1.58333333333333,"question",16
"120","Father","and",1.59702258726899,"declarative",2
"121","Father","and",1.59702258726899,"question",3
"122","Father","and",1.60249828884326,"declarative",1
"123","Father","and",1.60523613963039,"declarative",9
"124","Father","and",1.60523613963039,"other",1
"125","Father","and",1.60523613963039,"question",4
"126","Father","and",1.61071184120465,"declarative",1
"127","Father","and",1.62987679671458,"question",1
"128","Father","and",1.63535249828884,"declarative",4
"129","Father","and",1.64356605065024,"other",1
"130","Father","and",1.64630390143737,"declarative",1
"131","Father","and",1.64630390143737,"other",1
"132","Father","and",1.65177960301164,"declarative",1
"133","Father","and",1.67214236824093,"declarative",39
"134","Father","and",1.67214236824093,"other",13
"135","Father","and",1.67214236824093,"question",8
"136","Father","and",1.67488021902806,"declarative",16
"137","Father","and",1.67488021902806,"other",5
"138","Father","and",1.67488021902806,"question",4
"139","Father","and",1.68035592060233,"declarative",1
"140","Father","and",1.68309377138946,"declarative",9
"141","Father","and",1.69404517453799,"declarative",13
"142","Father","and",1.69404517453799,"question",6
"143","Father","and",1.71047227926078,"declarative",16
"144","Father","and",1.71047227926078,"imperative",1
"145","Father","and",1.71047227926078,"other",3
"146","Father","and",1.71047227926078,"question",14
"147","Father","and",1.71321013004791,"declarative",1
"148","Father","and",1.72142368240931,"declarative",3
"149","Father","and",1.72689938398357,"declarative",41
"150","Father","and",1.72689938398357,"other",1
"151","Father","and",1.72689938398357,"question",12
"152","Father","and",1.73237508555784,"question",1
"153","Father","and",1.74880219028063,"declarative",2
"154","Father","and",1.75,"declarative",13
"155","Father","and",1.75,"other",20
"156","Father","and",1.75,"question",3
"157","Father","and",1.75273785078713,"declarative",34
"158","Father","and",1.75273785078713,"other",3
"159","Father","and",1.75273785078713,"question",8
"160","Father","and",1.75547570157426,"declarative",2
"161","Father","and",1.76095140314853,"declarative",3
"162","Father","and",1.76095140314853,"question",1
"163","Father","and",1.76368925393566,"declarative",1
"164","Father","and",1.76916495550992,"declarative",1
"165","Father","and",1.77464065708419,"declarative",39
"166","Father","and",1.77464065708419,"imperative",2
"167","Father","and",1.77464065708419,"other",6
"168","Father","and",1.77464065708419,"question",19
"169","Father","and",1.77737850787132,"declarative",3
"170","Father","and",1.77737850787132,"other",2
"171","Father","and",1.77737850787132,"question",1
"172","Father","and",1.78559206023272,"declarative",2
"173","Father","and",1.79380561259411,"declarative",31
"174","Father","and",1.79380561259411,"imperative",1
"175","Father","and",1.79380561259411,"other",6
"176","Father","and",1.79380561259411,"question",8
"177","Father","and",1.80749486652977,"declarative",7
"178","Father","and",1.81023271731691,"declarative",16
"179","Father","and",1.81023271731691,"imperative",1
"180","Father","and",1.81023271731691,"other",6
"181","Father","and",1.81023271731691,"question",9
"182","Father","and",1.8184462696783,"declarative",8
"183","Father","and",1.8184462696783,"other",2
"184","Father","and",1.8184462696783,"question",1
"185","Father","and",1.83333333333333,"declarative",28
"186","Father","and",1.83333333333333,"imperative",1
"187","Father","and",1.83333333333333,"other",42
"188","Father","and",1.83333333333333,"question",5
"189","Father","and",1.84154688569473,"declarative",1
"190","Father","and",1.84702258726899,"declarative",32
"191","Father","and",1.84702258726899,"imperative",1
"192","Father","and",1.84702258726899,"other",2
"193","Father","and",1.84702258726899,"question",13
"194","Father","and",1.84976043805613,"declarative",15
"195","Father","and",1.84976043805613,"other",3
"196","Father","and",1.84976043805613,"question",15
"197","Father","and",1.85249828884326,"declarative",4
"198","Father","and",1.85249828884326,"question",4
"199","Father","and",1.85523613963039,"question",4
"200","Father","and",1.86071184120465,"question",1
"201","Father","and",1.86344969199179,"declarative",64
"202","Father","and",1.86344969199179,"other",5
"203","Father","and",1.86344969199179,"question",15
"204","Father","and",1.86618754277892,"declarative",5
"205","Father","and",1.86618754277892,"other",2
"206","Father","and",1.86618754277892,"question",1
"207","Father","and",1.86892539356605,"other",2
"208","Father","and",1.87166324435318,"declarative",1
"209","Father","and",1.87166324435318,"question",1
"210","Father","and",1.87713894592745,"declarative",42
"211","Father","and",1.87713894592745,"other",2
"212","Father","and",1.87713894592745,"question",6
"213","Father","and",1.88261464750171,"declarative",14
"214","Father","and",1.88261464750171,"question",2
"215","Father","and",1.88535249828884,"declarative",3
"216","Father","and",1.89356605065024,"declarative",4
"217","Father","and",1.89356605065024,"other",2
"218","Father","and",1.89356605065024,"question",4
"219","Father","and",1.89630390143737,"declarative",2
"220","Father","and",1.8990417522245,"declarative",1
"221","Father","and",1.8990417522245,"question",1
"222","Father","and",1.90451745379877,"declarative",37
"223","Father","and",1.90451745379877,"other",6
"224","Father","and",1.90451745379877,"question",11
