"","word","speech_act","count","total","connective_pct"
"1","and","declarative",175894,247712,71.0074602764501
"2","and","imperative",3207,247712,1.29464862420876
"3","and","other",18560,247712,7.49257201911898
"4","and","question",50051,247712,20.2053190802222
"5","or","declarative",8481,18561,45.6925812186843
"6","or","imperative",73,18561,0.393297774904369
"7","or","other",1033,18561,5.56543289693443
"8","or","question",8974,18561,48.3486881094769
"9","other","declarative",9197735,13890317,66.21688331519
"10","other","imperative",220315,13890317,1.5861049103487
"11","other","other",450594,13890317,3.2439432447798
"12","other","question",4021673,13890317,28.9530685296815
