"","speaker_role","target_child_age_years","gloss","freq","total_freq","relFreq","relFreq_ppt"
"1","Father",1.07118412046543,"and",2,67,0.0298507462686567,29.8507462686567
"2","Father",1.08333333333333,"and",2,388,0.00515463917525773,5.15463917525773
"3","Father",1.16666666666667,"and",6,1290,0.00465116279069767,4.65116279069767
"4","Father",1.16666666666667,"or",1,1290,0.000775193798449612,0.775193798449612
"5","Father",1.1694045174538,"and",8,384,0.0208333333333333,20.8333333333333
"6","Father",1.1694045174538,"or",3,384,0.0078125,7.8125
"7","Father",1.17488021902806,"and",1,593,0.00168634064080944,1.68634064080944
"8","Father",1.18583162217659,"and",6,231,0.025974025974026,25.974025974026
"9","Father",1.18583162217659,"or",1,231,0.00432900432900433,4.32900432900433
"10","Father",1.19404517453799,"and",18,1733,0.0103866128101558,10.3866128101558
"11","Father",1.19404517453799,"or",1,1733,0.000577034045008655,0.577034045008656
"12","Father",1.20499657768652,"and",4,275,0.0145454545454545,14.5454545454545
"13","Father",1.20499657768652,"or",1,275,0.00363636363636364,3.63636363636364
"14","Father",1.22416153319644,"and",4,913,0.00438116100766703,4.38116100766703
"15","Father",1.24880219028063,"and",1,22,0.0454545454545455,45.4545454545455
"16","Father",1.25,"and",23,2017,0.0114030738720873,11.4030738720873
"17","Father",1.25,"or",2,2017,0.000991571641051066,0.991571641051066
"18","Father",1.26368925393566,"and",6,729,0.00823045267489712,8.23045267489712
"19","Father",1.26368925393566,"or",2,729,0.00274348422496571,2.74348422496571
"20","Father",1.3184462696783,"and",1,72,0.0138888888888889,13.8888888888889
"21","Father",1.32392197125257,"and",2,270,0.00740740740740741,7.40740740740741
"22","Father",1.33333333333333,"and",4,646,0.00619195046439629,6.19195046439629
"23","Father",1.33333333333333,"or",3,646,0.00464396284829721,4.64396284829721
"24","Father",1.3388090349076,"and",19,921,0.0206297502714441,20.6297502714441
"25","Father",1.34154688569473,"and",17,1614,0.0105328376703841,10.5328376703841
"26","Father",1.34154688569473,"or",2,1614,0.00123915737298637,1.23915737298637
"27","Father",1.36071184120465,"and",49,3075,0.0159349593495935,15.9349593495935
"28","Father",1.36344969199179,"and",35,2479,0.0141185962081484,14.1185962081484
"29","Father",1.36344969199179,"or",6,2479,0.00242033077853973,2.42033077853973
"30","Father",1.36618754277892,"and",14,1309,0.0106951871657754,10.6951871657754
"31","Father",1.37987679671458,"and",16,1395,0.0114695340501792,11.4695340501792
"32","Father",1.3990417522245,"and",41,2809,0.0145959416162335,14.5959416162335
"33","Father",1.40177960301164,"and",26,2099,0.0123868508813721,12.3868508813721
"34","Father",1.40177960301164,"or",4,2099,0.00190566936636494,1.90566936636494
"35","Father",1.41666666666667,"and",21,2357,0.00890963088672041,8.90963088672041
"36","Father",1.41666666666667,"or",1,2357,0.000424268137462877,0.424268137462877
"37","Father",1.42214236824093,"and",47,3898,0.0120574653668548,12.0574653668548
"38","Father",1.42214236824093,"or",3,3898,0.000769625448948179,0.769625448948179
"39","Father",1.42488021902806,"and",5,297,0.0168350168350168,16.8350168350168
"40","Father",1.42488021902806,"or",1,297,0.00336700336700337,3.36700336700337
"41","Father",1.43309377138946,"and",5,656,0.00762195121951219,7.6219512195122
"42","Father",1.44130732375086,"and",32,2641,0.0121166224914805,12.1166224914805
"43","Father",1.44404517453799,"and",1,86,0.0116279069767442,11.6279069767442
"44","Father",1.44678302532512,"and",16,1093,0.0146386093321134,14.6386093321135
"45","Father",1.44678302532512,"or",2,1093,0.00182982616651418,1.82982616651418
"46","Father",1.45499657768652,"and",1,20,0.05,50
"47","Father",1.46047227926078,"and",76,4286,0.0177321511899207,17.7321511899207
"48","Father",1.46868583162218,"or",1,34,0.0294117647058824,29.4117647058824
"49","Father",1.47142368240931,"and",3,223,0.0134529147982063,13.4529147982063
"50","Father",1.47416153319644,"and",3,85,0.0352941176470588,35.2941176470588
"51","Father",1.47416153319644,"or",1,85,0.0117647058823529,11.7647058823529
"52","Father",1.4796372347707,"and",65,4611,0.0140967252222945,14.0967252222945
"53","Father",1.4796372347707,"or",5,4611,0.00108436347863804,1.08436347863804
"54","Father",1.48237508555784,"and",15,727,0.0206327372764787,20.6327372764787
"55","Father",1.49332648870637,"and",34,2338,0.0145423438836612,14.5423438836612
"56","Father",1.5,"and",56,2417,0.0231692180388912,23.1692180388912
"57","Father",1.5,"or",5,2417,0.00206868018204386,2.06868018204386
"58","Father",1.50547570157426,"and",7,316,0.0221518987341772,22.1518987341772
"59","Father",1.50547570157426,"or",3,316,0.00949367088607595,9.49367088607595
"60","Father",1.5082135523614,"and",1,76,0.0131578947368421,13.1578947368421
"61","Father",1.51095140314853,"and",4,174,0.0229885057471264,22.9885057471264
"62","Father",1.51368925393566,"or",1,74,0.0135135135135135,13.5135135135135
"63","Father",1.51916495550992,"and",46,2281,0.0201665935992986,20.1665935992986
"64","Father",1.52190280629706,"and",1,8,0.125,125
"65","Father",1.52190280629706,"or",1,8,0.125,125
"66","Father",1.52464065708419,"and",23,1533,0.015003261578604,15.003261578604
"67","Father",1.52464065708419,"or",3,1533,0.00195694716242661,1.95694716242661
"68","Father",1.53011635865845,"and",1,14,0.0714285714285714,71.4285714285714
"69","Father",1.53832991101985,"and",73,3562,0.0204941044357103,20.4941044357103
"70","Father",1.53832991101985,"or",7,3562,0.00196518809657496,1.96518809657496
"71","Father",1.54106776180698,"and",4,134,0.0298507462686567,29.8507462686567
"72","Father",1.54380561259411,"and",11,1312,0.00838414634146342,8.38414634146342
"73","Father",1.54380561259411,"or",3,1312,0.00228658536585366,2.28658536585366
"74","Father",1.55201916495551,"and",2,215,0.00930232558139535,9.30232558139535
"75","Father",1.55201916495551,"or",1,215,0.00465116279069767,4.65116279069767
"76","Father",1.55475701574264,"and",13,572,0.0227272727272727,22.7272727272727
"77","Father",1.55475701574264,"or",6,572,0.0104895104895105,10.4895104895105
"78","Father",1.55749486652977,"and",89,4179,0.0212969609954535,21.2969609954535
"79","Father",1.55749486652977,"or",5,4179,0.00119645848289064,1.19645848289064
"80","Father",1.57118412046543,"and",40,2399,0.0166736140058358,16.6736140058358
"81","Father",1.57118412046543,"or",1,2399,0.000416840350145894,0.416840350145894
"82","Father",1.57392197125257,"and",58,1995,0.0290726817042607,29.0726817042607
"83","Father",1.57392197125257,"or",1,1995,0.00050125313283208,0.50125313283208
"84","Father",1.58333333333333,"and",61,3591,0.0169869117237538,16.9869117237538
"85","Father",1.58333333333333,"or",7,3591,0.00194931773879142,1.94931773879142
"86","Father",1.59702258726899,"and",5,235,0.0212765957446809,21.2765957446809
"87","Father",1.60249828884326,"and",1,114,0.0087719298245614,8.7719298245614
"88","Father",1.60249828884326,"or",1,114,0.0087719298245614,8.7719298245614
"89","Father",1.60523613963039,"and",14,2993,0.00467758102238557,4.67758102238557
"90","Father",1.60523613963039,"or",1,2993,0.000334112930170398,0.334112930170398
"91","Father",1.61071184120465,"and",1,129,0.00775193798449612,7.75193798449612
"92","Father",1.62987679671458,"and",1,169,0.00591715976331361,5.91715976331361
"93","Father",1.63535249828884,"and",4,284,0.0140845070422535,14.0845070422535
"94","Father",1.63535249828884,"or",1,284,0.00352112676056338,3.52112676056338
"95","Father",1.64356605065024,"and",1,144,0.00694444444444444,6.94444444444444
"96","Father",1.64630390143737,"and",2,359,0.00557103064066852,5.57103064066852
"97","Father",1.64630390143737,"or",3,359,0.00835654596100279,8.35654596100279
"98","Father",1.65177960301164,"and",1,180,0.00555555555555556,5.55555555555556
"99","Father",1.67214236824093,"and",60,1458,0.0411522633744856,41.1522633744856
"100","Father",1.67214236824093,"or",1,1458,0.000685871056241427,0.685871056241427
"101","Father",1.67488021902806,"and",25,730,0.0342465753424658,34.2465753424658
"102","Father",1.67488021902806,"or",2,730,0.00273972602739726,2.73972602739726
"103","Father",1.68035592060233,"and",1,123,0.00813008130081301,8.13008130081301
"104","Father",1.68309377138946,"and",9,691,0.0130246020260492,13.0246020260492
"105","Father",1.69404517453799,"and",19,985,0.0192893401015228,19.2893401015228
"106","Father",1.71047227926078,"and",34,1158,0.0293609671848014,29.3609671848014
"107","Father",1.71047227926078,"or",1,1158,0.000863557858376511,0.863557858376511
"108","Father",1.71321013004791,"and",1,173,0.00578034682080925,5.78034682080925
"109","Father",1.72142368240931,"and",3,71,0.0422535211267606,42.2535211267606
"110","Father",1.72142368240931,"or",1,71,0.0140845070422535,14.0845070422535
"111","Father",1.72689938398357,"and",54,2998,0.0180120080053369,18.0120080053369
"112","Father",1.7296372347707,"or",1,64,0.015625,15.625
"113","Father",1.73237508555784,"and",1,84,0.0119047619047619,11.9047619047619
"114","Father",1.74880219028063,"and",2,61,0.0327868852459016,32.7868852459016
"115","Father",1.75,"and",36,2221,0.0162089149031968,16.2089149031968
"116","Father",1.75,"or",3,2221,0.00135074290859973,1.35074290859973
"117","Father",1.75273785078713,"and",45,1816,0.0247797356828194,24.7797356828194
"118","Father",1.75547570157426,"and",2,131,0.0152671755725191,15.2671755725191
"119","Father",1.7582135523614,"or",1,14,0.0714285714285714,71.4285714285714
