"","speech_act","speaker_role","utterance_count","total_utterance_count","utteranceType_relFreq","utteranceType_ppc"
"1","declarative","Father",145141,232924,0.623125998179664,62.3125998179664
"2","declarative","Mother",1216476,1906501,0.638067328577326,63.8067328577326
"3","declarative","Target_Child",1497189,1790970,0.835965426556559,83.5965426556559
"4","imperative","Father",4245,232924,0.01822482869949,1.822482869949
"5","imperative","Mother",35753,1906501,0.0187532028569615,1.87532028569615
"6","imperative","Target_Child",48569,1790970,0.0271188238775636,2.71188238775636
"7","other","Father",14564,232924,0.06252683278666,6.252683278666
"8","other","Mother",57092,1906501,0.0299459585911573,2.99459585911573
"9","other","Target_Child",49255,1790970,0.0275018565358437,2.75018565358437
"10","question","Father",68974,232924,0.296122340334186,29.6122340334186
"11","question","Mother",597180,1906501,0.313233509974555,31.3233509974555
"12","question","Target_Child",195957,1790970,0.109413893030034,10.9413893030034
