"","speech_act","speaker_role","target_child_age_years","gloss","freq","total_freq","relFreq","relFreq_ppt"
"1","declarative","Father",1.07118412046543,"and",2,63,0.0317460317460317,31.7460317460317
"2","declarative","Father",1.16666666666667,"and",4,328,0.0121951219512195,12.1951219512195
"3","declarative","Father",1.16666666666667,"or",1,328,0.00304878048780488,3.04878048780488
"4","declarative","Father",1.1694045174538,"and",8,265,0.030188679245283,30.188679245283
"5","declarative","Father",1.1694045174538,"or",1,265,0.00377358490566038,3.77358490566038
"6","declarative","Father",1.18583162217659,"and",4,120,0.0333333333333333,33.3333333333333
"7","declarative","Father",1.19404517453799,"and",13,1132,0.0114840989399293,11.4840989399293
"8","declarative","Father",1.19404517453799,"or",1,1132,0.00088339222614841,0.88339222614841
"9","declarative","Father",1.20499657768652,"and",4,250,0.016,16
"10","declarative","Father",1.22416153319644,"and",4,586,0.0068259385665529,6.8259385665529
"11","declarative","Father",1.24880219028063,"and",1,10,0.1,100
"12","declarative","Father",1.26368925393566,"and",2,421,0.00475059382422803,4.75059382422803
"13","declarative","Father",1.26368925393566,"or",1,421,0.00237529691211401,2.37529691211401
"14","declarative","Father",1.3184462696783,"and",1,47,0.0212765957446809,21.2765957446809
"15","declarative","Father",1.3388090349076,"and",11,579,0.0189982728842832,18.9982728842832
"16","declarative","Father",1.34154688569473,"and",14,1169,0.0119760479041916,11.9760479041916
"17","declarative","Father",1.34154688569473,"or",1,1169,0.000855431993156544,0.855431993156544
"18","declarative","Father",1.36071184120465,"and",39,2251,0.0173256330519769,17.3256330519769
"19","declarative","Father",1.36344969199179,"and",24,1623,0.0147874306839187,14.7874306839187
"20","declarative","Father",1.36344969199179,"or",2,1623,0.00123228589032656,1.23228589032656
"21","declarative","Father",1.36618754277892,"and",12,903,0.0132890365448505,13.2890365448505
"22","declarative","Father",1.37987679671458,"and",13,1021,0.0127326150832517,12.7326150832517
"23","declarative","Father",1.3990417522245,"and",33,2082,0.015850144092219,15.850144092219
"24","declarative","Father",1.40177960301164,"and",18,1164,0.0154639175257732,15.4639175257732
"25","declarative","Father",1.40177960301164,"or",3,1164,0.00257731958762887,2.57731958762887
"26","declarative","Father",1.42214236824093,"and",43,3069,0.0140110785272076,14.0110785272076
"27","declarative","Father",1.42214236824093,"or",3,3069,0.000977517106549365,0.977517106549365
"28","declarative","Father",1.42488021902806,"and",3,215,0.013953488372093,13.953488372093
"29","declarative","Father",1.43309377138946,"and",3,483,0.0062111801242236,6.2111801242236
"30","declarative","Father",1.44130732375086,"and",26,2205,0.0117913832199546,11.7913832199546
"31","declarative","Father",1.44404517453799,"and",1,55,0.0181818181818182,18.1818181818182
"32","declarative","Father",1.44678302532512,"and",8,752,0.0106382978723404,10.6382978723404
"33","declarative","Father",1.45499657768652,"and",1,20,0.05,50
"34","declarative","Father",1.46047227926078,"and",63,3513,0.017933390264731,17.933390264731
"35","declarative","Father",1.46868583162218,"or",1,30,0.0333333333333333,33.3333333333333
"36","declarative","Father",1.4796372347707,"and",57,3424,0.0166471962616822,16.6471962616822
"37","declarative","Father",1.4796372347707,"or",3,3424,0.000876168224299065,0.876168224299065
"38","declarative","Father",1.48237508555784,"and",11,615,0.0178861788617886,17.8861788617886
"39","declarative","Father",1.49332648870637,"and",24,1679,0.0142942227516379,14.2942227516379
"40","declarative","Father",1.5,"and",37,1744,0.0212155963302752,21.2155963302752
"41","declarative","Father",1.5,"or",4,1744,0.00229357798165138,2.29357798165138
"42","declarative","Father",1.50547570157426,"and",7,251,0.0278884462151394,27.8884462151394
"43","declarative","Father",1.50547570157426,"or",2,251,0.00796812749003984,7.96812749003984
"44","declarative","Father",1.5082135523614,"and",1,57,0.0175438596491228,17.5438596491228
"45","declarative","Father",1.51095140314853,"and",3,117,0.0256410256410256,25.6410256410256
