"target_child_age_months","speaker_role","collection_name","word_count"
12,"Father","Eng-NA",172
12,"Mother","Eng-NA",29855
12,"Target_Child","Eng-NA",2580
13,"Father","Eng-UK",409
13,"Mother","Eng-NA",25909
13,"Target_Child","Eng-NA",2122
13,"Target_Child","Eng-UK",92
14,"Father","Eng-NA",4732
14,"Father","Eng-UK",998
14,"Mother","Eng-NA",78307
14,"Mother","Eng-UK",87
14,"Target_Child","Eng-NA",5828
14,"Target_Child","Eng-UK",410
15,"Father","Eng-NA",1220
15,"Father","Eng-UK",2275
15,"Mother","Eng-NA",39785
15,"Mother","Eng-UK",564
15,"Target_Child","Eng-NA",8389
15,"Target_Child","Eng-UK",842
16,"Father","Eng-NA",15800
16,"Father","Eng-UK",696
16,"Mother","Eng-NA",50729
16,"Mother","Eng-UK",492
16,"Target_Child","Eng-NA",12271
16,"Target_Child","Eng-UK",328
17,"Father","Eng-NA",20861
17,"Father","Eng-UK",2909
17,"Mother","Eng-NA",53920
17,"Mother","Eng-UK",4372
17,"Target_Child","Eng-NA",13495
17,"Target_Child","Eng-UK",2166
18,"Father","Eng-NA",20719
18,"Father","Eng-UK",639
18,"Mother","Eng-NA",77997
18,"Mother","Eng-UK",7615
18,"Target_Child","Eng-NA",21455
18,"Target_Child","Eng-UK",2615
19,"Father","Eng-NA",7299
19,"Father","Eng-UK",1317
19,"Mother","Eng-NA",113345
19,"Mother","Eng-UK",15129
19,"Target_Child","Eng-NA",24170
19,"Target_Child","Eng-UK",6104
20,"Father","Eng-NA",8475
20,"Father","Eng-UK",440
20,"Mother","Eng-NA",125606
20,"Mother","Eng-UK",8647
20,"Target_Child","Eng-NA",31988
20,"Target_Child","Eng-UK",3492
21,"Father","Eng-NA",13284
21,"Father","Eng-UK",1969
21,"Mother","Eng-NA",101307
21,"Mother","Eng-UK",19056
21,"Target_Child","Eng-NA",38473
21,"Target_Child","Eng-UK",9445
22,"Father","Eng-NA",22209
22,"Father","Eng-UK",2408
22,"Mother","Eng-NA",85105
22,"Mother","Eng-UK",26580
22,"Target_Child","Eng-NA",41565
22,"Target_Child","Eng-UK",8121
23,"Father","Eng-NA",20125
23,"Father","Eng-UK",4589
23,"Mother","Eng-NA",89689
23,"Mother","Eng-UK",109437
23,"Target_Child","Eng-NA",45003
23,"Target_Child","Eng-UK",32668
24,"Father","Eng-NA",22239
24,"Father","Eng-UK",27403
24,"Mother","Eng-NA",81233
24,"Mother","Eng-UK",351423
24,"Target_Child","Eng-NA",45833
24,"Target_Child","Eng-UK",138511
25,"Father","Eng-NA",15632
25,"Father","Eng-UK",9431
25,"Mother","Eng-NA",122862
25,"Mother","Eng-UK",286915
25,"Target_Child","Eng-NA",59192
25,"Target_Child","Eng-UK",87003
26,"Father","Eng-NA",20468
26,"Father","Eng-UK",7185
26,"Mother","Eng-NA",105938
26,"Mother","Eng-UK",287390
26,"Target_Child","Eng-NA",59771
26,"Target_Child","Eng-UK",92413
27,"Father","Eng-NA",10946
27,"Father","Eng-UK",5189
27,"Mother","Eng-NA",112067
27,"Mother","Eng-UK",263164
27,"Target_Child","Eng-NA",68381
27,"Target_Child","Eng-UK",95525
28,"Father","Eng-NA",11172
28,"Father","Eng-UK",9673
28,"Mother","Eng-NA",149243
28,"Mother","Eng-UK",275873
28,"Target_Child","Eng-NA",76489
28,"Target_Child","Eng-UK",101071
29,"Father","Eng-NA",23121
29,"Father","Eng-UK",5502
29,"Mother","Eng-NA",160724
29,"Mother","Eng-UK",256616
29,"Target_Child","Eng-NA",105317
29,"Target_Child","Eng-UK",112730
30,"Father","Eng-NA",29949
30,"Father","Eng-UK",17250
30,"Mother","Eng-NA",160066
30,"Mother","Eng-UK",262695
30,"Target_Child","Eng-NA",101071
30,"Target_Child","Eng-UK",113325
31,"Father","Eng-NA",12424
31,"Father","Eng-UK",13348
31,"Mother","Eng-NA",118352
31,"Mother","Eng-UK",312513
31,"Target_Child","Eng-NA",86806
31,"Target_Child","Eng-UK",132771
32,"Father","Eng-NA",17168
32,"Father","Eng-UK",11024
32,"Mother","Eng-NA",98065
32,"Mother","Eng-UK",259439
32,"Target_Child","Eng-NA",75915
32,"Target_Child","Eng-UK",120502
33,"Father","Eng-NA",21337
33,"Father","Eng-UK",11459
33,"Mother","Eng-NA",91564
33,"Mother","Eng-UK",307302
33,"Target_Child","Eng-NA",73269
33,"Target_Child","Eng-UK",131678
34,"Father","Eng-NA",22135
34,"Father","Eng-UK",15884
34,"Mother","Eng-NA",87227
34,"Mother","Eng-UK",269052
34,"Target_Child","Eng-NA",82387
34,"Target_Child","Eng-UK",122922
35,"Father","Eng-NA",15953
35,"Father","Eng-UK",21229
35,"Mother","Eng-NA",68303
35,"Mother","Eng-UK",224037
35,"Target_Child","Eng-NA",59974
35,"Target_Child","Eng-UK",105819
36,"Father","Eng-NA",21765
36,"Father","Eng-UK",46811
36,"Mother","Eng-NA",77835
36,"Mother","Eng-UK",393012
36,"Target_Child","Eng-NA",76287
36,"Target_Child","Eng-UK",246260
37,"Father","Eng-NA",14440
37,"Father","Eng-UK",7973
37,"Mother","Eng-NA",61279
37,"Mother","Eng-UK",153131
37,"Target_Child","Eng-NA",66843
37,"Target_Child","Eng-UK",64275
38,"Father","Eng-NA",18026
38,"Father","Eng-UK",784
38,"Mother","Eng-NA",58729
38,"Mother","Eng-UK",71264
38,"Target_Child","Eng-NA",58876
38,"Target_Child","Eng-UK",40290
39,"Father","Eng-NA",19623
39,"Father","Eng-UK",4256
39,"Mother","Eng-NA",77137
39,"Mother","Eng-UK",56705
39,"Target_Child","Eng-NA",65237
39,"Target_Child","Eng-UK",33582
40,"Father","Eng-NA",17500
40,"Father","Eng-UK",158
40,"Mother","Eng-NA",58374
40,"Mother","Eng-UK",33553
40,"Target_Child","Eng-NA",59202
40,"Target_Child","Eng-UK",15156
41,"Father","Eng-NA",10518
41,"Father","Eng-UK",4963
41,"Mother","Eng-NA",33435
41,"Mother","Eng-UK",30581
41,"Target_Child","Eng-NA",44626
41,"Target_Child","Eng-UK",19913
42,"Father","Eng-NA",11765
42,"Father","Eng-UK",658
42,"Mother","Eng-NA",28245
42,"Mother","Eng-UK",39932
42,"Target_Child","Eng-NA",37062
42,"Target_Child","Eng-UK",24729
43,"Father","Eng-NA",14992
43,"Father","Eng-UK",2153
43,"Mother","Eng-NA",41461
43,"Mother","Eng-UK",28253
43,"Target_Child","Eng-NA",39103
43,"Target_Child","Eng-UK",16224
44,"Father","Eng-NA",12183
44,"Mother","Eng-NA",48732
44,"Mother","Eng-UK",32307
44,"Target_Child","Eng-NA",48152
44,"Target_Child","Eng-UK",13083
45,"Father","Eng-NA",9693
45,"Father","Eng-UK",2
45,"Mother","Eng-NA",69763
45,"Mother","Eng-UK",37997
45,"Target_Child","Eng-NA",45324
45,"Target_Child","Eng-UK",15135
46,"Father","Eng-NA",15018
46,"Father","Eng-UK",1999
46,"Mother","Eng-NA",47493
46,"Mother","Eng-UK",37673
46,"Target_Child","Eng-NA",40393
46,"Target_Child","Eng-UK",16012
47,"Father","Eng-NA",11148
47,"Father","Eng-UK",73
47,"Mother","Eng-NA",34446
47,"Mother","Eng-UK",33763
47,"Target_Child","Eng-NA",31929
47,"Target_Child","Eng-UK",12273
48,"Father","Eng-NA",17289
48,"Father","Eng-UK",48
48,"Mother","Eng-NA",63174
48,"Mother","Eng-UK",27477
48,"Target_Child","Eng-NA",45552
48,"Target_Child","Eng-UK",13245
49,"Father","Eng-NA",7961
49,"Father","Eng-UK",602
49,"Mother","Eng-NA",35621
49,"Mother","Eng-UK",33068
49,"Target_Child","Eng-NA",28539
49,"Target_Child","Eng-UK",14058
50,"Father","Eng-NA",14875
50,"Father","Eng-UK",1
50,"Mother","Eng-NA",40441
50,"Mother","Eng-UK",26355
50,"Target_Child","Eng-NA",34482
50,"Target_Child","Eng-UK",14867
51,"Father","Eng-NA",13198
51,"Mother","Eng-NA",34124
51,"Mother","Eng-UK",30441
51,"Target_Child","Eng-NA",32961
51,"Target_Child","Eng-UK",9502
52,"Father","Eng-NA",12870
52,"Father","Eng-UK",149
52,"Mother","Eng-NA",18513
52,"Mother","Eng-UK",30655
52,"Target_Child","Eng-NA",28700
52,"Target_Child","Eng-UK",18353
53,"Father","Eng-NA",4489
53,"Father","Eng-UK",12
53,"Mother","Eng-NA",28747
53,"Mother","Eng-UK",33165
53,"Target_Child","Eng-NA",20072
53,"Target_Child","Eng-UK",11584
54,"Father","Eng-NA",6528
54,"Father","Eng-UK",12
54,"Mother","Eng-NA",34355
54,"Mother","Eng-UK",26370
54,"Target_Child","Eng-NA",33686
54,"Target_Child","Eng-UK",9839
55,"Father","Eng-NA",2843
55,"Father","Eng-UK",28
55,"Mother","Eng-NA",32654
55,"Mother","Eng-UK",21841
55,"Target_Child","Eng-NA",25548
55,"Target_Child","Eng-UK",11310
56,"Father","Eng-NA",5461
56,"Father","Eng-UK",599
56,"Mother","Eng-NA",25730
56,"Mother","Eng-UK",26741
56,"Target_Child","Eng-NA",20123
56,"Target_Child","Eng-UK",13957
57,"Father","Eng-NA",63763
57,"Father","Eng-UK",322
57,"Mother","Eng-NA",225449
57,"Mother","Eng-UK",30400
57,"Target_Child","Eng-NA",326527
57,"Target_Child","Eng-UK",14924
58,"Father","Eng-NA",3865
58,"Father","Eng-UK",54
58,"Mother","Eng-NA",22957
58,"Mother","Eng-UK",27312
58,"Target_Child","Eng-NA",23667
58,"Target_Child","Eng-UK",14651
59,"Father","Eng-NA",9228
59,"Father","Eng-UK",197
59,"Mother","Eng-NA",32961
59,"Mother","Eng-UK",29468
59,"Target_Child","Eng-NA",23906
59,"Target_Child","Eng-UK",14906
60,"Father","Eng-NA",2136
60,"Father","Eng-UK",55
60,"Mother","Eng-NA",21634
60,"Mother","Eng-UK",2971
60,"Target_Child","Eng-NA",20432
60,"Target_Child","Eng-UK",9256
61,"Father","Eng-NA",4259
61,"Mother","Eng-NA",10602
61,"Target_Child","Eng-NA",9669
61,"Target_Child","Eng-UK",9108
62,"Father","Eng-NA",2995
62,"Mother","Eng-NA",13615
62,"Target_Child","Eng-NA",11911
62,"Target_Child","Eng-UK",7871
63,"Father","Eng-NA",5377
63,"Mother","Eng-NA",13489
63,"Target_Child","Eng-NA",11686
63,"Target_Child","Eng-UK",3641
64,"Father","Eng-NA",2218
64,"Mother","Eng-NA",17656
64,"Target_Child","Eng-NA",9002
65,"Father","Eng-NA",625
65,"Mother","Eng-NA",13134
65,"Target_Child","Eng-NA",8604
66,"Father","Eng-NA",1606
66,"Mother","Eng-NA",23360
66,"Target_Child","Eng-NA",13190
67,"Father","Eng-NA",551
67,"Mother","Eng-NA",29989
67,"Target_Child","Eng-NA",16576
68,"Father","Eng-NA",288
68,"Mother","Eng-NA",16398
68,"Target_Child","Eng-NA",14819
69,"Father","Eng-NA",3514
69,"Mother","Eng-NA",23190
69,"Target_Child","Eng-NA",17443
70,"Father","Eng-NA",1722
70,"Mother","Eng-NA",14260
70,"Target_Child","Eng-NA",11071
71,"Father","Eng-NA",168
71,"Mother","Eng-NA",12465
71,"Target_Child","Eng-NA",9555
