"","speaker_role","word","target_child_age_years","count","total","rel_freq","ppt"
"1","Father","and",1.07118412046543,2,67,0.0298507462686567,29.8507462686567
"2","Father","and",1.08333333333333,2,388,0.00515463917525773,5.15463917525773
"3","Father","and",1.16666666666667,6,1290,0.00465116279069767,4.65116279069767
"4","Father","and",1.1694045174538,8,384,0.0208333333333333,20.8333333333333
"5","Father","and",1.17488021902806,1,593,0.00168634064080944,1.68634064080944
"6","Father","and",1.18583162217659,6,231,0.025974025974026,25.974025974026
"7","Father","and",1.19404517453799,18,1733,0.0103866128101558,10.3866128101558
"8","Father","and",1.20499657768652,4,275,0.0145454545454545,14.5454545454545
"9","Father","and",1.22416153319644,4,913,0.00438116100766703,4.38116100766703
"10","Father","and",1.24880219028063,1,22,0.0454545454545455,45.4545454545455
"11","Father","and",1.25,23,2017,0.0114030738720873,11.4030738720873
"12","Father","and",1.26368925393566,6,729,0.00823045267489712,8.23045267489712
"13","Father","and",1.3184462696783,1,72,0.0138888888888889,13.8888888888889
"14","Father","and",1.32392197125257,2,270,0.00740740740740741,7.40740740740741
"15","Father","and",1.33333333333333,4,646,0.00619195046439629,6.19195046439629
"16","Father","and",1.3388090349076,19,921,0.0206297502714441,20.6297502714441
"17","Father","and",1.34154688569473,17,1614,0.0105328376703841,10.5328376703841
"18","Father","and",1.36071184120465,49,3075,0.0159349593495935,15.9349593495935
"19","Father","and",1.36344969199179,35,2479,0.0141185962081484,14.1185962081484
"20","Father","and",1.36618754277892,14,1309,0.0106951871657754,10.6951871657754
"21","Father","and",1.37987679671458,16,1395,0.0114695340501792,11.4695340501792
"22","Father","and",1.3990417522245,41,2809,0.0145959416162335,14.5959416162335
"23","Father","and",1.40177960301164,26,2099,0.0123868508813721,12.3868508813721
"24","Father","and",1.41666666666667,21,2357,0.00890963088672041,8.90963088672041
"25","Father","and",1.42214236824093,47,3898,0.0120574653668548,12.0574653668548
"26","Father","and",1.42488021902806,5,297,0.0168350168350168,16.8350168350168
"27","Father","and",1.43309377138946,5,656,0.00762195121951219,7.6219512195122
"28","Father","and",1.44130732375086,32,2641,0.0121166224914805,12.1166224914805
"29","Father","and",1.44404517453799,1,86,0.0116279069767442,11.6279069767442
"30","Father","and",1.44678302532512,16,1093,0.0146386093321134,14.6386093321135
"31","Father","and",1.45499657768652,1,20,0.05,50
"32","Father","and",1.46047227926078,76,4286,0.0177321511899207,17.7321511899207
"33","Father","and",1.47142368240931,3,223,0.0134529147982063,13.4529147982063
"34","Father","and",1.47416153319644,3,85,0.0352941176470588,35.2941176470588
"35","Father","and",1.4796372347707,65,4611,0.0140967252222945,14.0967252222945
"36","Father","and",1.48237508555784,15,727,0.0206327372764787,20.6327372764787
"37","Father","and",1.49332648870637,34,2338,0.0145423438836612,14.5423438836612
"38","Father","and",1.5,56,2417,0.0231692180388912,23.1692180388912
"39","Father","and",1.50547570157426,7,316,0.0221518987341772,22.1518987341772
"40","Father","and",1.5082135523614,1,76,0.0131578947368421,13.1578947368421
"41","Father","and",1.51095140314853,4,174,0.0229885057471264,22.9885057471264
"42","Father","and",1.51916495550992,46,2281,0.0201665935992986,20.1665935992986
"43","Father","and",1.52190280629706,1,8,0.125,125
"44","Father","and",1.52464065708419,23,1533,0.015003261578604,15.003261578604
"45","Father","and",1.53011635865845,1,14,0.0714285714285714,71.4285714285714
"46","Father","and",1.53832991101985,73,3562,0.0204941044357103,20.4941044357103
"47","Father","and",1.54106776180698,4,134,0.0298507462686567,29.8507462686567
"48","Father","and",1.54380561259411,11,1312,0.00838414634146342,8.38414634146342
"49","Father","and",1.55201916495551,2,215,0.00930232558139535,9.30232558139535
"50","Father","and",1.55475701574264,13,572,0.0227272727272727,22.7272727272727
"51","Father","and",1.55749486652977,89,4179,0.0212969609954535,21.2969609954535
"52","Father","and",1.57118412046543,40,2399,0.0166736140058358,16.6736140058358
"53","Father","and",1.57392197125257,58,1995,0.0290726817042607,29.0726817042607
"54","Father","and",1.58333333333333,61,3591,0.0169869117237538,16.9869117237538
"55","Father","and",1.59702258726899,5,235,0.0212765957446809,21.2765957446809
"56","Father","and",1.60249828884326,1,114,0.0087719298245614,8.7719298245614
"57","Father","and",1.60523613963039,14,2993,0.00467758102238557,4.67758102238557
"58","Father","and",1.61071184120465,1,129,0.00775193798449612,7.75193798449612
"59","Father","and",1.62987679671458,1,169,0.00591715976331361,5.91715976331361
"60","Father","and",1.63535249828884,4,284,0.0140845070422535,14.0845070422535
"61","Father","and",1.64356605065024,1,144,0.00694444444444444,6.94444444444444
"62","Father","and",1.64630390143737,2,359,0.00557103064066852,5.57103064066852
"63","Father","and",1.65177960301164,1,180,0.00555555555555556,5.55555555555556
"64","Father","and",1.67214236824093,60,1458,0.0411522633744856,41.1522633744856
"65","Father","and",1.67488021902806,25,730,0.0342465753424658,34.2465753424658
"66","Father","and",1.68035592060233,1,123,0.00813008130081301,8.13008130081301
"67","Father","and",1.68309377138946,9,691,0.0130246020260492,13.0246020260492
"68","Father","and",1.69404517453799,19,985,0.0192893401015228,19.2893401015228
"69","Father","and",1.71047227926078,34,1158,0.0293609671848014,29.3609671848014
"70","Father","and",1.71321013004791,1,173,0.00578034682080925,5.78034682080925
"71","Father","and",1.72142368240931,3,71,0.0422535211267606,42.2535211267606
"72","Father","and",1.72689938398357,54,2998,0.0180120080053369,18.0120080053369
"73","Father","and",1.73237508555784,1,84,0.0119047619047619,11.9047619047619
"74","Father","and",1.74880219028063,2,61,0.0327868852459016,32.7868852459016
"75","Father","and",1.75,36,2221,0.0162089149031968,16.2089149031968
"76","Father","and",1.75273785078713,45,1816,0.0247797356828194,24.7797356828194
"77","Father","and",1.75547570157426,2,131,0.0152671755725191,15.2671755725191
"78","Father","and",1.76095140314853,4,201,0.0199004975124378,19.9004975124378
"79","Father","and",1.76368925393566,1,41,0.024390243902439,24.390243902439
"80","Father","and",1.76916495550992,1,121,0.00826446280991736,8.26446280991736
"81","Father","and",1.77464065708419,66,3112,0.0212082262210797,21.2082262210797
"82","Father","and",1.77737850787132,6,459,0.0130718954248366,13.0718954248366
"83","Father","and",1.78559206023272,2,136,0.0147058823529412,14.7058823529412
"84","Father","and",1.79380561259411,46,2336,0.0196917808219178,19.6917808219178
"85","Father","and",1.80749486652977,7,967,0.00723888314374354,7.23888314374354
"86","Father","and",1.81023271731691,32,2624,0.0121951219512195,12.1951219512195
"87","Father","and",1.8184462696783,11,660,0.0166666666666667,16.6666666666667
"88","Father","and",1.83333333333333,76,3583,0.0212112754674853,21.2112754674853
"89","Father","and",1.84154688569473,1,202,0.00495049504950495,4.95049504950495
"90","Father","and",1.84702258726899,48,2392,0.020066889632107,20.066889632107
"91","Father","and",1.84976043805613,33,1894,0.0174234424498416,17.4234424498416
"92","Father","and",1.85249828884326,8,933,0.00857449088960343,8.57449088960343
"93","Father","and",1.85523613963039,4,169,0.0236686390532544,23.6686390532544
"94","Father","and",1.86071184120465,1,114,0.0087719298245614,8.7719298245614
"95","Father","and",1.86344969199179,84,4159,0.0201971627795143,20.1971627795143
"96","Father","and",1.86618754277892,8,343,0.0233236151603499,23.3236151603499
"97","Father","and",1.86892539356605,2,37,0.0540540540540541,54.0540540540541
"98","Father","and",1.87166324435318,2,246,0.00813008130081301,8.13008130081301
"99","Father","and",1.87713894592745,50,2262,0.02210433244916,22.10433244916
"100","Father","and",1.88261464750171,16,2205,0.0072562358276644,7.2562358276644
"101","Father","and",1.88535249828884,3,350,0.00857142857142857,8.57142857142857
"102","Father","and",1.89356605065024,10,604,0.0165562913907285,16.5562913907285
"103","Father","and",1.89630390143737,2,272,0.00735294117647059,7.35294117647059
"104","Father","and",1.8990417522245,2,153,0.0130718954248366,13.0718954248366
"105","Father","and",1.90451745379877,54,3445,0.0156748911465893,15.6748911465893
"106","Father","and",1.9072553045859,2,186,0.010752688172043,10.752688172043
"107","Father","and",1.90999315537303,5,404,0.0123762376237624,12.3762376237624
"108","Father","and",1.91666666666667,143,4337,0.0329721005303205,32.9721005303205
"109","Father","and",1.92214236824093,3,408,0.00735294117647059,7.35294117647059
"110","Father","and",1.92488021902806,20,813,0.02460024600246,24.60024600246
"111","Father","and",1.93309377138946,90,3080,0.0292207792207792,29.2207792207792
"112","Father","and",1.94130732375086,16,1666,0.00960384153661465,9.60384153661465
"113","Father","and",1.94678302532512,4,375,0.0106666666666667,10.6666666666667
"114","Father","and",1.94952087611225,18,1203,0.0149625935162095,14.9625935162095
"115","Father","and",1.95225872689938,1,87,0.0114942528735632,11.4942528735632
"116","Father","and",1.95499657768652,24,1471,0.0163154316791298,16.3154316791298
"117","Father","and",1.95773442847365,43,1022,0.0420743639921722,42.0743639921722
"118","Father","and",1.96321013004791,1,225,0.00444444444444444,4.44444444444444
"119","Father","and",1.96868583162218,98,2355,0.0416135881104034,41.6135881104034
"120","Father","and",1.97142368240931,16,825,0.0193939393939394,19.3939393939394
"121","Father","and",1.97689938398357,2,255,0.00784313725490196,7.84313725490196
"122","Father","and",1.9796372347707,5,526,0.00950570342205323,9.50570342205323
"123","Father","and",1.98237508555784,1,91,0.010989010989011,10.989010989011
"124","Father","and",1.98511293634497,60,2070,0.0289855072463768,28.9855072463768
"125","Father","and",1.9878507871321,48,1914,0.0250783699059561,25.0783699059561
"126","Father","and",1.99332648870637,27,880,0.0306818181818182,30.6818181818182
"127","Father","and",1.9960643394935,3,189,0.0158730158730159,15.8730158730159
"128","Father","and",1.99880219028063,4,427,0.00936768149882904,9.36768149882904
"129","Father","and",2,101,5709,0.0176913645121738,17.6913645121738
"130","Father","and",2.00273785078713,9,280,0.0321428571428571,32.1428571428571
"131","Father","and",2.00547570157426,18,1332,0.0135135135135135,13.5135135135135
"132","Father","and",2.0082135523614,41,2234,0.0183527305282005,18.3527305282005
"133","Father","and",2.01095140314853,4,263,0.0152091254752852,15.2091254752852
"134","Father","and",2.01368925393566,24,1229,0.0195280716029292,19.5280716029292
