"","speaker_role","speech_act","total_freq","gloss","freq","relFreq","relFreq_ppt"
"1","Father","declarative",564003,"and",9498,0.0168403359556598,16.8403359556598
"2","Father","declarative",564003,"or",622,0.00110283101331021,1.10283101331021
"3","Father","imperative",10973,"and",161,0.0146723776542422,14.6723776542422
"4","Father","imperative",10973,"or",2,0.000182265560922264,0.182265560922264
"5","Father","other",62218,"and",1784,0.0286733742646822,28.6733742646822
"6","Father","other",62218,"or",148,0.00237873284258575,2.37873284258575
"7","Father","question",328428,"and",4045,0.012316245874286,12.316245874286
"8","Father","question",328428,"or",911,0.00277381952817665,2.77381952817665
"9","Mother","declarative",5083840,"and",102402,0.0201426480770441,20.1426480770441
"10","Mother","declarative",5083840,"or",6224,0.00122427141688173,1.22427141688173
"11","Mother","imperative",98822,"and",1378,0.0139442634231244,13.9442634231244
"12","Mother","imperative",98822,"or",41,0.000414887373256967,0.414887373256967
"13","Mother","other",254761,"and",10533,0.0413446328127147,41.3446328127147
"14","Mother","other",254761,"or",741,0.00290860846047864,2.90860846047864
"15","Mother","question",3073840,"and",39468,0.0128399656455769,12.8399656455769
"16","Mother","question",3073840,"or",7282,0.00236902376180933,2.36902376180933
"17","Target_Child","declarative",3734267,"and",63994,0.0171369642288567,17.1369642288567
"18","Target_Child","declarative",3734267,"or",1635,0.000437836930246284,0.437836930246284
"19","Target_Child","imperative",113800,"and",1668,0.0146572934973638,14.6572934973638
"20","Target_Child","imperative",113800,"or",30,0.000263620386643234,0.263620386643234
"21","Target_Child","other",153208,"and",6243,0.0407485248812072,40.7485248812072
"22","Target_Child","other",153208,"or",144,0.000939898699806799,0.939898699806799
"23","Target_Child","question",678430,"and",6538,0.00963695591291659,9.63695591291659
"24","Target_Child","question",678430,"or",781,0.00115118730008991,1.15118730008991
